# u, v, x, y, z
296,293,-0.8121657371520996,-0.3652351200580597,-0.065465547144413
543,251,-2.686285972595215,0.6202227473258972,-0.0014352858997881413
231,26,-2.5755882263183594,-0.6281908750534058,0.9135941863059998
200,447,-2.590503454208374,-0.41707858443260193,-0.7144743800163269
290,449,-2.5847113132476807,-0.7326948642730713,-0.7316480278968811
541,34,-2.339670419692993,0.5101932883262634,0.766068160533905
516,197,-2.0884437561035156,0.33568018674850464,0.15491347014904022
393,59,-1.0282955169677734,-0.2039293646812439,0.2813142240047455
421,468,-0.7995001673698425,-0.23110373318195343,-0.26434168219566345
154,159,-5.937191486358643,-1.6846106052398682,0.9134007692337036
313,272,-3.097990036010742,-0.30511125922203064,-0.07785791158676147
287,253,-2.47183895111084,-0.38193386793136597,-0.06247829645872116
